q,user-throughput,ed,eb,U,ce
0.1670625,161353.64025,1361.9,6418.205803453849,965828,543479.814
0.1670625,120741.2476875,1061.1,4926.677019458067,722731,428037.12899999996
0.1670625,90442.1244375,812.3,4138.571317223894,541367,333587.241
0.1670625,71490.5544375,615.5,3733.363140336029,427927,252988.965
0.5332634999999999,189694.62527399996,3112.2,3508.7627730216095,355724,1304198.532
0.5332634999999999,176345.97334199995,2912.7,3866.611625503026,330692,1235800.356
0.5332634999999999,183097.08925199998,3032.3999999999996,5443.501448909021,343352,1279096.6439999999
0.5332634999999999,230510.08030049995,3790.5,8529.167348533767,432263,1595307.735
0.5332634999999999,336924.94477949996,5506.2,12026.669550326204,631817,2259303.9839999997
0.5332634999999999,458393.3045999999,7461.299999999999,14780.936360618947,859600,2943557.4629999995
0.5332634999999999,623616.4678589999,10094.7,16672.726531762353,1169434,3887872.758
0.5332634999999999,741628.7469359998,12009.9,16816.707335330233,1390736,4579134.671999999
0.5332634999999999,766284.7181219999,12408.9,16811.432635644825,1436972,4779411.924000001
0.5332634999999999,812184.8406209998,13127.099999999999,17008.668276870587,1523046,5190717.881999999
0.5332634999999999,851132.8068704999,13765.499999999998,16619.77053111079,1596083,5619627.72
0.5332634999999999,821597.4746594998,13326.599999999999,15668.399505624131,1540697,5446847.952
0.5332634999999999,810799.4220479998,13127.099999999999,14424.218509873219,1520448,5325270.657
0.1670625,255570.7089375,2174.2,13174.324507579026,1529791,875615.566
0.5332634999999999,787192.9134299998,12768.0,12795.37981747086,1476180,5120223.359999999
0.5332634999999999,783030.2585489998,12688.2,13329.515938720151,1468374,5090886.4860000005
0.5332634999999999,775534.7067929999,12568.5,13964.234923801581,1454318,4979639.7
0.5332634999999999,732858.1621514999,11890.2,13846.574589784572,1374289,4629924.978
0.1670625,243091.641375,2056.3,11727.768218366782,1455094,798461.29
0.1670625,215206.905375,1820.5,8957.122338786849,1288182,710304.485
0.1670625,176329.2898125,1479.8,6686.599518643844,1055469,576382.1
0.1670625,130513.06743750001,1113.1,5257.125402251636,781223,430090.709
0.1670625,95589.3200625,825.3,4394.18218795529,572177,318788.631
0.1670625,74708.679375,681.4,3779.7545535620307,447190,266808.984
0.5332634999999999,189773.54827199996,3112.2,3481.5755634677566,355872,1245097.8539999998
0.5332634999999999,175755.11738399995,2912.7,3925.5015645344456,329584,1189080.648
0.5332634999999999,179766.32543099998,2992.5,5456.035988442036,337106,1252540.8
0.5332634999999999,192231.89300699995,3152.1,8280.13167049299,360482,1351809.606
0.5332634999999999,250768.22740199996,4149.6,11203.736494871231,470252,1782170.2080000003
0.5332634999999999,349108.94922749995,5705.7,13218.922540535814,654665,2442667.227
0.5332634999999999,471000.7202669999,7660.799999999999,14447.234532237639,883242,3269782.6559999995
0.5332634999999999,596585.8743074998,9695.699999999999,14282.663247119597,1118745,4123678.1669999994
0.5332634999999999,666824.1429464999,10812.9,13607.682191520853,1250459,4670091.51
0.5332634999999999,719598.5652239999,11650.8,13242.655018871355,1349424,5127750.096
0.5332634999999999,746845.6637564999,12089.699999999999,12671.346286396774,1400519,5420416.995
0.1670625,242651.0975625,2056.3,11878.558948732509,1452457,921798.164
0.1670625,250656.7325625,2108.3,11436.531681088078,1500377,922739.6610000001
0.1670625,262380.5105625,2213.2,11042.349637487885,1570553,948090.6159999999
0.1670625,250033.5894375,2095.3,10812.103298335946,1496647,888868.1660000001
0.1670625,238915.413,2043.3,11319.40671568197,1430096,862742.559
0.5332634999999999,742240.9334339999,12009.9,12053.865449993444,1391884,5009209.191
0.1670625,240321.076875,2043.3,12369.25183543422,1438510,827025.6749999999
0.1670625,236971.47375,1977.4,11389.112218460074,1418460,760310.3
0.1670625,211327.2129375,1807.5,9668.534953129947,1264959,653375.1
0.1670625,175580.5156875,1479.8,7735.710959213135,1050987,513372.216
0.1670625,130990.5320625,1113.1,6395.460733959321,784081,365497.516
0.5332634999999999,303479.7245864999,4987.5,5363.597908338404,569099,1556199.75
0.5332634999999999,229692.05409149994,3750.5999999999995,4907.870306514089,430729,1103951.6039999998
0.5332634999999999,191893.27068449996,3112.2,4777.74444744945,359847,872349.66
0.5332634999999999,161579.37376349996,2673.2999999999997,5100.932386187418,303001,731708.9429999999
0.5332634999999999,162515.78446949998,2713.2,5753.550305857508,304757,745858.6799999999
0.5332634999999999,175941.75960899997,2912.7,7107.783874943576,329934,831342.834
0.5332634999999999,230651.92839149994,3790.5,9087.405875048351,432529,1103869.4100000001
0.5332634999999999,349336.65274199995,5705.7,11512.189515736622,655092,1656478.824
0.5332634999999999,527106.9728924999,8538.6,13481.682009835878,988455,2499589.764
0.5332634999999999,686086.6870934998,11132.1,14487.642241973812,1286581,3269609.091
0.5332634999999999,754972.0662329998,12209.4,14955.158165506919,1415758,3566854.116
0.5332634999999999,808186.4308979998,13087.199999999999,15446.76216177829,1515548,3761915.6399999997
0.5332634999999999,845488.2127229999,13725.6,15306.379566184054,1585498,4018992.936
0.5332634999999999,861796.4770799999,13925.1,15457.34199211034,1616080,4078661.7899999996
0.5332634999999999,867049.6558184999,14044.8,15389.28960157822,1625931,4215687.1680000005
0.5332634999999999,940982.3739854998,15241.8,15422.32634015034,1764573,4619637.162
0.5332634999999999,918476.5212314998,14882.699999999999,15070.876147876921,1722369,4581639.195
0.5332634999999999,900326.3647454998,14563.5,15718.078077015422,1688333,4414051.215
0.5332634999999999,856467.0416609999,13885.199999999999,16347.906147270318,1606086,4232347.812
0.5332634999999999,859803.1381169999,13925.1,16341.802034591665,1612342,4281271.995
