q,user-throughput,ed,eb,U,ce
0.42322499999999996,408762.55529999995,6388.400000000001,6418.205803453849,965828,2549354.904
0.4443862499999996,321171.7188487497,4907.699999999999,4956.162886550193,722731,1979717.1029999994
0.49376249999999994,267306.72333749995,4156.3,4157.211928613063,541367,1706867.7210000001
0.49376249999999994,211294.30533749997,3706.2,3733.363140336029,427927,1523359.386
0.5925149999999999,210771.80585999996,3480.699999999999,3535.405415059308,355724,1458622.1419999995
0.592515,195939.97038,3268.2,3894.3291367277743,330692,1386631.896
0.592515,203441.21028,3400.9,6045.417203557853,343352,1434533.629
0.6583500000000001,284580.34605000005,10559.199999999999,10576.330883982515,432263,4444050.504
0.5925150000000017,374361.04975500103,11944.199999999999,12026.669550326204,631817,4900944.143999999
0.5925149999999999,509325.8939999999,8382.999999999993,14866.71088063073,859600,3307177.3299999973
0.5925149999999999,692907.1865099999,22293.9,23226.317105651804,1169434,8586272.646
0.5925149999999999,824031.9410399998,13484.799999999997,16816.707335330233,1390736,5141484.543999999
0.5925149999999999,851427.4645799999,13869.900000000003,20109.775217467217,1436972,5342130.684000001
0.5925149999999999,902427.6006899999,14706.899999999994,19873.876688040888,1523046,5815402.397999998
0.5925149999999999,945703.1187449999,15491.0,18849.25615731148,1596083,6324045.84
0.592515,912886.082955,16781.699999999997,16795.844410744183,1540697,6859016.424
0.5332634999999999,810799.4220479998,13127.099999999999,14424.218509873219,1520448,5325270.657
0.5332634999999999,815781.7029284998,13486.2,14480.912211252129,1529791,5431297.326
0.5332634999999999,787192.9134299998,12768.0,12795.37981747086,1476180,5120223.359999999
0.5332634999999999,783030.2585489998,13326.599999999999,13356.881425852633,1468374,5347031.717999999
0.5332634999999999,775534.7067929999,12568.5,13967.187882137492,1454318,4979639.7
0.592515,814286.846835,15240.399999999998,15266.719372162615,1374289,5934459.355999999
0.49376249999999994,718470.851175,10877.4,11727.768218366782,1455094,4223694.42
0.4937624999999999,636055.9647749999,9655.29999999999,9803.414927124808,1288182,3767208.4009999963
0.42322499999999996,446700.86752499995,6147.2,6686.599518643844,1055469,2394334.4
0.4443862499999999,347164.7593837499,5306.7,5800.86647347961,781223,2050455.8129999998
0.49376249999999994,282519.5459625,4382.7,4394.18218795529,572177,1692905.5289999999
0.49376249999999994,220805.65237499998,3400.0,3791.0816164425337,447190,1331304.0
0.5925149999999999,210859.49807999996,3480.699999999999,3853.252252529043,355872,1392523.6489999995
0.592515,195283.46376,3268.2,3926.3596055802664,329584,1334209.9679999999
0.592515,199740.36159000001,3347.9999999999995,6097.131149722479,337106,1401338.88
0.6856244999999996,247155.29100899986,10308.3,10337.538617567325,360482,4420817.538
0.6583500000000031,309590.40420000145,9986.0,11203.736494871231,470252,4288787.28
0.6583500000000018,430998.70275000116,13783.999999999998,14440.555928724121,654665,5901068.239999999
0.5925149999999999,523334.13362999994,8582.499999999998,14447.234532237639,883242,3663182.649999999
0.5925149999999999,662873.1936749999,10893.999999999995,20168.219648449616,1118745,4633327.139999998
0.5925149999999999,740915.7143849998,12103.1,16944.64066716901,1250459,5227328.89
0.5925149999999999,799553.9613599998,13072.8,14719.136543268922,1349424,5753600.736
0.5332634999999999,746845.6637564999,12408.9,12838.083413430702,1400519,5563530.315
0.49376249999999994,717168.7994624999,10877.4,12141.04621674802,1452457,4876120.8719999995
0.49376249999999994,740829.8984625,11222.599999999999,12461.960733885411,1500377,4911795.341999999
0.44438625,697932.15809625,10413.899999999998,11260.920716580793,1570553,4461106.481999999
0.4937624999999999,738988.1643374998,11182.700000000003,11446.715659155947,1496647,4743924.994000002
0.4937624999999999,706127.7761999998,10717.800000000001,11319.40671568197,1430096,4525376.694000001
0.5332634999999999,742240.9334339999,12329.099999999999,12662.886053609922,1391884,5142344.318999999
0.4937624999999999,710282.2938749999,10717.8,12369.25183543422,1438510,4338029.55
0.5332634999999999,756412.9442099999,12289.199999999999,13127.539085539396,1418460,4725197.399999999
0.49376249999999994,624589.3182374999,9482.7,9668.534953129947,1264959,3427806.3960000006
0.4937624999999999,518937.96858749987,7862.5,7929.345280836025,1050987,2727658.5
0.49376249999999994,387149.7947625,5910.1,6395.460733959321,784081,1940640.4360000002
0.592515,337199.693985,5846.0,5874.376225763192,569099,1824068.92
0.592515,255213.393435,4876.299999999999,4907.870306514089,430729,1435290.1419999998
0.5925149999999999,213214.74520499996,3480.7000000000007,4810.896085049724,359847,975640.2100000002
0.5925149999999993,179532.6375149998,6124.799999999999,6429.205224666394,303001,1676419.0079999997
0.592515,180573.093855,3015.8,5753.550305857508,304757,829043.4199999999
0.7618050000000025,251345.37087000083,9467.4,9744.626279400969,329934,2702185.308
0.5925150000000005,256279.9204350002,4277.799999999999,9087.405875048351,432529,1245780.916
0.6583499999999999,431279.8181999999,16297.699999999999,16336.705301530163,655092,4731548.2639999995
0.592515,585674.414325,13462.4,13481.682009835878,988455,3940982.976
0.592515,762318.541215,14483.2,14506.860571480316,1286581,4253860.672
0.5925149999999999,838857.8513699998,13697.3,14959.624280691856,1415758,4001529.2219999996
0.592515,897984.92322,14706.9,16725.143391457164,1515548,4227498.404999999
0.592515,939431.34747,15331.399999999998,16032.698265692849,1585498,4489187.233999999
0.5332634999999999,861796.4770799999,13925.1,15457.34199211034,1616080,4078661.7899999996
0.592515,963388.506465,15743.4,16884.471103074484,1625931,4725538.944
0.5332634999999999,940982.3739854998,15401.400000000001,15422.32634015034,1764573,4668010.326
0.5332634999999999,918476.5212314998,15002.400000000001,15091.478923372018,1722369,4618488.840000001
