q,user-throughput,ed,eb,U,ce
0.4610331,445278.6769068,6814.2300000000005,7212.7796819214345,96582.8,2719286.6238
0.4996876499999997,361139.75497214973,5767.639999999999,5923.343780494433,72273.1,2326608.2996
0.5312884499999999,287622.0343111499,4762.26,4945.592724082554,54136.7,1955717.3142000001
0.5707894499999999,244256.21697014998,4417.32,4457.635589561219,42792.7,1815651.0395999998
0.5925149999999998,210771.80585999996,3548.529999999998,4317.181715925789,35572.4,1487046.9817999993
0.5925149999999998,195939.97037999996,3268.199999999999,4458.5898653675395,33069.2,1386631.8959999995
0.592515,203441.21028000006,3400.9000000000005,6364.541894064427,34335.2,1434533.6290000002
0.6254325000000005,270351.3287475002,8772.46,9854.599954495914,43226.3,3692065.2401999994
0.6451830000000015,407637.58751100104,13873.959999999997,14436.814128211572,63181.7,5692763.267199999
0.6385995000000021,548940.130200002,15166.0,18210.113596282543,85960.0,5983138.659999998
0.5925149999999936,692907.1865099927,12424.739999999892,20005.604565461646,116943.4,4785264.363599959
0.5925149999999999,824031.9410399998,14290.779999999999,20358.305900150775,139073.6,5448788.598399999
0.5925149999999998,851427.4645799997,13869.900000000003,20486.41180979678,143697.2,5342130.684000001
0.5925149999999998,902427.60069,14706.899999999994,20578.78774818572,152304.6,5815402.397999999
0.5925149999999998,945703.1187449999,15491.0,20360.880877663825,159608.3,6324045.840000001
0.5925149999999999,912886.082955,17579.699999999997,18642.26173179159,154069.7,7185174.983999999
0.5925149999999999,900888.2467199999,15592.679999999997,17880.261264838842,152044.8,6325482.495599997
0.57473955,879231.3909340501,14396.55,15959.376708481233,152979.1,5797922.581499999
0.5628892499999999,830925.8530649999,13652.630000000001,15243.135976553032,147618.0,5474977.682600001
0.5806647,852632.9481977997,14653.429999999997,15803.474096946613,146837.4,5879395.718899999
0.58658985,853088.1774722999,13919.309999999998,16535.050573273453,145431.8,5514830.622
0.5925149999999999,814286.8468349999,15388.029999999999,16129.874739640047,137428.9,5991945.001699999
0.5372136,781696.2860783999,12530.46,13279.35195365671,145509.4,4865577.618
0.49079992499999997,632239.6289863498,10230.159999999998,10742.276820907067,128818.2,3991501.5272
0.49178745,519066.40806404984,7997.280000000001,8571.551922949544,105546.9,3114940.56
0.4996876499999999,390367.4849959499,6164.9400000000005,6485.189896217617,78122.3,2382071.1666
0.53918865,308511.3441910499,5123.37,5326.627648239402,57217.7,1979004.1298999998
0.5767146,257901.00197400004,4580.19,4708.818222827578,44719.0,1793419.1964000002
0.5925149999999998,210859.49808,3480.699999999998,4150.386229209913,35587.2,1392523.6489999997
0.5925149999999999,195283.46375999998,3268.2000000000003,4656.037405694306,32958.4,1334209.968
0.5990985000000002,201959.6989410001,4092.9900000000002,6392.837367657534,33710.6,1713161.8943999994
0.689386500000001,248511.42429300034,9188.539999999999,9637.245251286793,36048.2,3940597.2644
0.7030237500000005,330598.32448500034,12965.56,13361.57614378343,47025.2,5568448.7088
0.6572214000000003,430259.8478310001,16014.979999999996,16331.978798831999,65466.5,6856173.087799999
0.6122655000000005,540778.6047510005,14717.26,17114.194026888705,88324.2,6281620.913199999
0.5925149999999998,662873.193675,11743.869999999999,17623.37818062087,111874.5,4994785.349699999
0.5925149999999998,740915.7143849999,12777.410000000002,15993.108879694457,125045.9,5518563.379
0.5925149999999998,799553.96136,13072.800000000001,15478.015186056839,134942.4,5753600.7360000005
0.5747395499999999,804933.65982645,13127.24,14987.668387550104,140051.9,5885598.0540000005
0.5530139999999999,803229.0553979997,13079.55,14007.196712345374,145245.7,5863300.673999999
0.553014,829729.4862779998,13974.34,14287.659029183333,150037.7,6116149.387800001
0.49870012500000005,783234.9774191248,12364.369999999999,13076.350440713151,157055.3,5296648.8206
0.528325875,790717.3358411248,13107.440000000002,13444.850451480748,149664.7,5560438.196800001
0.5490638999999998,785214.0871343999,12639.119999999999,13728.176464779093,143009.6,5336615.6376
0.57473955,799970.7838122001,13469.259999999998,13753.460478442521,139188.4,5617893.653399998
0.57473955,826768.5900704999,13559.279999999999,15029.87790523612,143851.0,5488118.58
0.5668393499999999,804038.9444009998,12969.96,13868.521948418833,141846.0,4986949.619999999
0.5589391499999996,707035.1082448497,11602.799999999997,12234.564129690636,126495.9,4194180.144
0.5184506249999998,544884.867016875,8635.24,9295.230288590503,105098.7,2995737.4608000005
0.5707894499999997,447545.1627454498,7369.460000000001,7948.278600164644,78408.1,2419835.8856000006
0.5806646999999999,330455.70010530006,6121.1799999999985,6404.135902556054,56909.9,1909930.5835999995
0.5925149999999999,255213.39343499998,5351.109999999999,5866.37737737629,43072.9,1575045.7174
0.5925149999999998,213214.74520499998,3716.1100000000006,6080.635358268914,35984.7,1041625.6330000001
0.6056820000000017,183522.25168200055,4667.96,6059.907674790653,30300.1,1277667.3315999997
0.6385995000000008,194617.66782150028,6016.38,6905.411077090181,30475.7,1653902.8619999997
0.6921139500000008,228351.9239793003,8413.14,8709.878360355859,32993.4,2401278.4188
0.6893865000000018,298179.65345850075,10860.580000000002,11160.24315514688,43252.9,3162818.1075999998
0.605682,396777.4327440001,8771.43,12846.452280610496,65509.2,2546521.5576
0.5925149999999999,585674.4143249999,15569.119999999999,16183.411084606987,98845.5,4557704.1888
0.5925149999999999,762318.5412149999,14594.919999999998,17140.329536479214,128658.1,4286673.953199999
0.5925149999999998,838857.8513699997,13697.3,17756.259289906364,141575.8,4001529.222
0.5925149999999999,897984.92322,14706.9,18486.684955216257,151554.8,4227498.405
0.5925149999999999,939431.34747,15331.399999999998,18696.74264009382,158549.8,4489187.233999998
