q,user-throughput,ed,eb,U,ce
0.4443862499999999,429200.68306499993,6423.9,6713.443270412726,965828,2563521.534
0.4443862499999996,321171.7188487497,4907.699999999999,5458.758137559538,722731,1979717.1029999994
0.5925149999999999,320768.06800499995,5314.299999999999,5591.209849569481,541367,2182423.581
0.592515,253553.166405,4304.7,4338.167969070466,427927,1769360.8409999998
0.5925149999999999,210771.80585999996,3480.699999999999,3747.358641587079,355724,1458622.1419999995
0.5925149999999999,195939.97037999996,3268.199999999999,4670.866843607655,330692,1386631.8959999995
0.592515,203441.21028,3400.9,6314.461680734464,343352,1434533.629
0.6583500000000001,284580.34605000005,9122.8,11480.25925112645,432263,3839512.8359999997
0.6583499999999999,415956.7219499999,15633.199999999999,15646.69708497439,631817,6414614.624
0.5925149999999999,509325.8939999999,8382.999999999993,15106.116960552565,859600,3307177.3299999973
0.5925149999999999,692907.1865099999,11345.899999999994,22124.708107648643,1169434,4369759.925999997
0.5925149999999999,824031.9410399998,13484.799999999997,22013.069901947274,1390736,5141484.543999999
0.5925149999999999,851427.4645799999,13869.900000000003,23418.325661453244,1436972,5342130.684000001
0.5925149999999999,902427.6006899999,14706.899999999994,23216.83219792835,1523046,5815402.397999998
0.5925149999999999,945703.1187449999,15491.0,20791.332934419595,1596083,6324045.84
0.592515,912886.082955,17300.399999999998,17329.24985322029,1540697,7071019.488
0.5925149999999999,900888.2467199998,14706.899999999994,19631.36139193745,1520448,5966148.122999998
0.592515,906424.114365,14786.7,16085.85022375399,1529791,5955047.691000001
0.5332634999999999,787192.9134299998,13047.3,13409.558048709463,1476180,5232228.245999999
0.5332634999999999,783030.2585489998,14084.7,14115.957379104639,1468374,5651204.181000001
0.592515,861705.22977,14069.4,16366.083330695452,1454318,5574296.279999999
0.592515,814286.846835,17315.199999999997,17322.0648118205,1374289,6742365.727999998
0.592515,862165.02141,14069.4,16020.131386289026,1455094,5463148.0200000005
0.4937624999999999,636055.9647749999,9655.29999999999,9915.534429037041,1288182,3767208.4009999963
0.5332634999999999,562843.0930814999,9216.900000000001,9254.25373380308,1055469,3589982.5500000007
0.4443862499999999,347164.7593837499,5306.7,5562.038675582231,781223,2050455.8129999998
0.49376249999999994,282519.5459625,4781.7,4811.629495811042,572177,1847027.2589999998
0.592515,264966.78285,4916.2,4928.7999378448885,447190,1924987.2719999999
0.592515,210859.49808000002,4677.7,4682.719132864133,355872,1871407.4389999998
0.592515,195283.46376,3268.2,4431.891266359389,329584,1334209.9679999999
0.592515,199740.36159000001,6629.699999999999,6650.907869910842,337106,2774927.2319999994
0.6583499999999999,237323.32469999997,9963.099999999999,9985.838794614547,360482,4272775.066
0.6583499999999999,309590.40419999993,12779.0,12817.074550132687,470252,5488324.92
0.6583500000000018,430998.70275000116,13783.999999999998,14606.909407292074,654665,5901068.239999999
0.592515,523334.13363,16594.2,17495.601018539783,883242,7082736.444
0.5925149999999999,662873.1936749999,10894.000000000007,17539.110467462866,1118745,4633327.140000003
0.5925149999999999,740915.7143849998,12103.1,14587.435309310355,1250459,5227328.89
0.5925149999999999,799553.9613599998,13072.800000000001,15427.69309698513,1349424,5753600.7360000005
0.592515,829828.515285,13537.699999999999,16308.022670592647,1400519,6069627.795
0.5332634999999999,774542.3034194999,12967.5,13007.022048862096,1452457,5813070.899999999
0.592515,888995.878155,14733.8,14741.68933692253,1500377,6448542.246
0.44438625,697932.15809625,10413.899999999998,11108.603735312812,1570553,4461106.481999999
0.4937624999999999,738988.1643374998,11182.700000000003,11904.125731467875,1496647,4743924.994000002
0.49376249999999994,706127.7762,10717.8,12066.48755891698,1430096,4525376.694
0.592515,824712.14826,13524.699999999997,13548.544765792632,1391884,5641017.122999999
0.5332634999999999,767104.8773849999,13087.2,13358.791982268958,1438510,5297044.2
0.592515,840458.8269,13737.2,14179.444711982793,1418460,5281953.4
0.5332634999999999,674556.4636964998,11251.8,11360.528569927688,1264959,4067300.664
0.5332634999999999,560453.0060744999,9097.2,9886.238605874387,1050987,3156000.6240000003
0.592515,464579.753715,7665.700000000001,7770.484791760576,784081,2517109.2520000003
0.592515,337199.693985,6923.299999999999,6945.859291298232,569099,2160208.0659999996
0.592515,255213.393435,5035.9,5074.737896935568,430729,1482266.8059999999
0.592515,213214.745205,6114.1,6125.068381630194,359847,1713782.2300000002
0.6583500000000018,199480.70835000052,6613.099999999999,7018.882963393887,303001,1810071.6009999998
0.6583500000000018,200636.77095000053,6613.099999999999,7059.6062252871625,304757,1817941.1899999997
0.6583500000000001,217212.04890000002,8248.2,8273.460430434321,329934,2354201.2440000004
0.6856244999999996,296552.4793604998,11849.099999999999,11959.02613156363,432529,3450694.902
0.6583500000000018,431279.81820000114,13783.999999999998,14839.212285784504,655092,4001770.8799999994
0.592515,585674.414325,17492.3,17526.18661278664,988455,5120695.902
0.592515,762318.541215,15121.600000000002,15154.073785104607,1286581,4441365.136
0.5925149999999999,838857.8513699998,13697.3,15493.543859465168,1415758,4001529.2219999996
0.592515,897984.92322,14706.9,17593.862102265473,1515548,4227498.404999999
0.592515,939431.34747,15331.399999999998,16576.80907017733,1585498,4489187.233999999
0.5925149999999999,957551.6411999998,15623.7,20341.86206161721,1616080,4576181.7299999995
0.592515,963388.506465,15743.4,16589.654190501322,1625931,4725538.944
0.5332634999999999,940982.3739854998,15640.8,16979.981300505522,1764573,4740570.072
0.5332634999999999,918476.5212314998,14882.699999999999,15944.986964453783,1722369,4581639.195
0.592515,1000362.627495,19812.3,19851.932611270477,1688333,6004910.006999999
